Day of Week,Date,Subways: % of Comparable Pre-Pandemic Day,7-day Averge,Subway Mobility Index,Avg. Ridership
7,2020-10-04,0.33899999999999997,0.3165714285714286,131.65714285714287,1504551
1,2020-10-05,0.294,0.3138571428571429,131.38571428571427,1531660.7142857143
2,2020-10-06,0.308,0.312,131.20000000000002,1545578.4285714286
3,2020-10-07,0.363,0.32200000000000006,132.20000000000002,1549847.5714285714
4,2020-10-08,0.298,0.3215714285714286,132.15714285714287,1548127.142857143
5,2020-10-09,0.309,0.323,132.29999999999998,1550638.2857142857
6,2020-10-10,0.359,0.32428571428571434,132.42857142857142,1551150.2857142857
7,2020-10-11,0.319,0.3214285714285715,132.14285714285717,1550568.4285714286
1,2020-10-12,0.302,0.3225714285714286,132.25714285714284,1494070.2857142857
2,2020-10-13,0.292,0.32028571428571434,132.02857142857144,1487860.7142857143
3,2020-10-14,0.315,0.3134285714285715,131.34285714285716,1497607.857142857
4,2020-10-15,0.305,0.3144285714285715,131.44285714285715,1505594.142857143
5,2020-10-16,0.27899999999999997,0.31014285714285716,131.0142857142857,1486009.4285714286
6,2020-10-17,0.36,0.31028571428571433,131.02857142857144,1491638.5714285714
7,2020-10-18,0.369,0.3174285714285715,131.74285714285716,1498548.2857142857
1,2020-10-19,0.304,0.3177142857142857,131.77142857142857,1560809.857142857
2,2020-10-20,0.307,0.3198571428571429,131.9857142857143,1570129.4285714286
3,2020-10-21,0.3,0.3177142857142857,131.77142857142857,1566437.857142857
4,2020-10-22,0.299,0.3168571428571429,131.68571428571428,1562339.7142857143
5,2020-10-23,0.312,0.3215714285714286,132.15714285714287,1586851.4285714286
6,2020-10-24,0.355,0.3208571428571429,132.0857142857143,1583215.857142857
7,2020-10-25,0.402,0.3255714285714286,132.55714285714285,1581375.142857143
1,2020-10-26,0.294,0.3241428571428572,132.41428571428574,1577283.2857142857
2,2020-10-27,0.304,0.3237142857142858,132.3714285714286,1582253.857142857
3,2020-10-28,0.303,0.3241428571428572,132.41428571428574,1583144
4,2020-10-29,0.29600000000000004,0.3237142857142858,132.3714285714286,1565926.2857142857
5,2020-10-30,0.297,0.3215714285714286,132.15714285714287,1555214.857142857
6,2020-10-31,0.35,0.3208571428571429,132.0857142857143,1553567.2857142857
7,2020-11-01,0.273,0.3024285714285715,130.24285714285716,1539521.142857143
1,2020-11-02,0.301,0.3034285714285715,130.34285714285713,1547715.857142857
2,2020-11-03,0.29,0.3014285714285715,130.14285714285717,1517317.5714285714
3,2020-11-04,0.281,0.2982857142857144,129.82857142857145,1498876
4,2020-11-05,0.298,0.2985714285714286,129.85714285714286,1511587.142857143
5,2020-11-06,0.314,0.30100000000000005,130.10000000000002,1521526
6,2020-11-07,0.385,0.30600000000000005,130.6,1531851.2857142857
7,2020-11-08,0.369,0.3197142857142858,131.9714285714286,1552113.857142857
1,2020-11-09,0.302,0.3198571428571429,131.9857142857143,1552789.857142857
2,2020-11-10,0.316,0.3235714285714287,132.35714285714286,1586311.857142857
3,2020-11-11,0.337,0.3315714285714286,133.15714285714287,1575444
4,2020-11-12,0.3,0.3318571428571429,133.18571428571428,1572961.5714285714
5,2020-11-13,0.31,0.33128571428571435,133.12857142857143,1569985.142857143
6,2020-11-14,0.376,0.33000000000000007,133,1565575.857142857
7,2020-11-15,0.337,0.3254285714285715,132.54285714285717,1550295.7142857143
1,2020-11-16,0.311,0.3267142857142858,132.67142857142858,1548739.5714285714
2,2020-11-17,0.304,0.32500000000000007,132.50000000000003,1541836.857142857
3,2020-11-18,0.302,0.32,132,1566597
4,2020-11-19,0.293,0.31900000000000006,131.9,1563861.5714285714
5,2020-11-20,0.311,0.31914285714285723,131.9142857142857,1561557.4285714286
6,2020-11-21,0.363,0.3172857142857143,131.72857142857143,1553341
7,2020-11-22,0.363,0.32100000000000006,132.10000000000002,1552841
1,2020-11-23,0.28800000000000003,0.3177142857142857,131.77142857142857,1539193.2857142857
2,2020-11-24,0.298,0.3168571428571429,131.68571428571428,1531575.5714285714
3,2020-11-25,0.32,0.31942857142857145,131.94285714285715,1517319.857142857
4,2020-11-26,0.308,0.3215714285714286,132.15714285714287,1359042.5714285714
5,2020-11-27,0.363,0.32900000000000007,132.9,1282131.5714285714
6,2020-11-28,0.371,0.3301428571428572,133.0142857142857,1264424.4285714286
7,2020-11-29,0.40700000000000003,0.33642857142857147,133.64285714285714,1265816.5714285714
1,2020-11-30,0.27699999999999997,0.3348571428571429,133.4857142857143,1239019.142857143
2,2020-12-01,0.293,0.3341428571428572,133.4142857142857,1234829.5714285714
3,2020-12-02,0.285,0.3291428571428572,132.9142857142857,1236522.7142857143
4,2020-12-03,0.287,0.3261428571428572,132.6142857142857,1391700.857142857
5,2020-12-04,0.28600000000000003,0.3151428571428572,131.5142857142857,1454448
6,2020-12-05,0.284,0.30271428571428577,130.27142857142857,1449763.7142857143
7,2020-12-06,0.32899999999999996,0.29157142857142865,129.15714285714287,1457117.7142857143
1,2020-12-07,0.295,0.29414285714285715,129.4142857142857,1485356.2857142857
2,2020-12-08,0.26,0.2894285714285715,128.94285714285715,1461684.5714285714
3,2020-12-09,0.287,0.28971428571428576,128.9714285714286,1461958
4,2020-12-10,0.29,0.29014285714285715,129.0142857142857,1465574
5,2020-12-11,0.302,0.2924285714285714,129.24285714285716,1477691
6,2020-12-12,0.316,0.29700000000000004,129.70000000000002,1490567.5714285714
7,2020-12-13,0.324,0.2962857142857143,129.62857142857143,1495173.4285714286
1,2020-12-14,0.27699999999999997,0.2937142857142857,129.37142857142857,1484778
2,2020-12-15,0.314,0.3014285714285715,130.14285714285717,1519444.142857143
3,2020-12-16,0.265,0.2982857142857143,129.82857142857142,1500418.2857142857
4,2020-12-17,0.188,0.28371428571428575,128.37142857142857,1402811
5,2020-12-18,0.307,0.2844285714285715,128.44285714285715,1395548
6,2020-12-19,0.35,0.2892857142857143,128.92857142857144,1398616.5714285714
7,2020-12-20,0.308,0.28700000000000003,128.7,1385828.2857142857
1,2020-12-21,0.36200000000000004,0.2991428571428572,129.9142857142857,1404715.5714285714
2,2020-12-22,0.37200000000000005,0.3074285714285715,130.74285714285713,1401495.7142857143
3,2020-12-23,0.374,0.32300000000000006,132.29999999999998,1430604.2857142857
4,2020-12-24,0.36,0.3475714285714286,134.75714285714287,1463922.142857143
5,2020-12-25,0.27899999999999997,0.3435714285714286,134.35714285714286,1284938.142857143
6,2020-12-26,0.282,0.3338571428571429,133.38571428571427,1251699.857142857
7,2020-12-27,0.302,0.3330000000000001,133.3,1243021.2857142857
1,2020-12-28,0.349,0.33114285714285724,133.11428571428573,1213580.7142857143
2,2020-12-29,0.36,0.32942857142857146,132.94285714285715,1184165.4285714286
3,2020-12-30,0.366,0.3282857142857143,132.82857142857142,1156985.142857143
4,2020-12-31,0.32,0.32257142857142856,132.25714285714284,1151626.5714285714
5,2021-01-01,0.266,0.32071428571428573,132.07142857142858,1170006.2857142857
6,2021-01-02,0.35200000000000004,0.3307142857142858,133.07142857142858,1185638.857142857
7,2021-01-03,0.287,0.3285714285714286,132.85714285714286,1170305.142857143
1,2021-01-04,0.298,0.32128571428571434,132.12857142857143,1177168.2857142857
2,2021-01-05,0.29600000000000004,0.3121428571428572,131.21428571428572,1183256.142857143
3,2021-01-06,0.297,0.3022857142857144,130.22857142857146,1187743.7142857143
4,2021-01-07,0.295,0.29871428571428577,129.87142857142857,1235901.142857143
5,2021-01-08,0.297,0.3031428571428572,130.31428571428572,1379867.142857143
6,2021-01-09,0.33,0.3000000000000001,130,1380096.5714285714
7,2021-01-10,0.33299999999999996,0.3065714285714286,130.65714285714284,1395778.7142857143
1,2021-01-11,0.301,0.30700000000000005,130.7,1397220.5714285714
2,2021-01-12,0.303,0.308,130.8,1403337
3,2021-01-13,0.298,0.30814285714285716,130.81428571428572,1407326
4,2021-01-14,0.299,0.3087142857142858,130.87142857142857,1412523.4285714286
5,2021-01-15,0.305,0.30985714285714294,130.9857142857143,1413643.2857142857
6,2021-01-16,0.38299999999999995,0.3174285714285715,131.74285714285716,1413840.5714285714
7,2021-01-17,0.35,0.3198571428571429,131.9857142857143,1418822.5714285714
1,2021-01-18,0.401,0.3341428571428572,133.4142857142857,1377078.142857143
2,2021-01-19,0.308,0.3348571428571429,133.4857142857143,1376437.857142857
3,2021-01-20,0.29100000000000004,0.3338571428571429,133.38571428571427,1366898.7142857143
4,2021-01-21,0.304,0.33457142857142863,133.45714285714286,1367680.142857143
5,2021-01-22,0.314,0.3358571428571429,133.5857142857143,1374119.7142857143
6,2021-01-23,0.38299999999999995,0.3358571428571429,133.5857142857143,1374986.2857142857
7,2021-01-24,0.318,0.33128571428571435,133.12857142857143,1366900
1,2021-01-25,0.304,0.3174285714285715,131.74285714285716,1412125
